ngram_ids,count,smoothed_count
"(54, 847)",18,18.01
"(203, 135)",18,18.01
"(117, 102)",18,18.01
"(297, 201)",18,18.01
"(357, 93)",18,18.01
"(149, 127)",18,18.01
"(453, 11)",18,18.01
"(286, 9)",18,18.01
"(24, 85)",18,18.01
"(147, 197)",18,18.01
"(313, 190)",18,18.01
"(9, 40)",18,18.01
"(93, 245)",18,18.01
"(96, 226)",18,18.01
"(88, 1604)",18,18.01
"(127, 134)",18,18.01
"(11, 48)",18,18.01
"(142, 134)",18,18.01
"(415, 155)",18,18.01
"(728, 134)",18,18.01
"(616, 9)",18,18.01
"(263, 84)",18,18.01
"(241, 225)",18,18.01
"(54, 1061)",18,18.01
"(190, 102)",18,18.01
"(94, 93)",18,18.01
"(496, 9)",18,18.01
"(9, 128)",18,18.01
"(227, 93)",18,18.01
"(1262, 88)",17,17.01
"(218, 315)",17,17.01
"(101, 302)",17,17.01
"(128, 272)",17,17.01
"(191, 153)",17,17.01
"(488, 101)",17,17.01
"(11, 1682)",17,17.01
"(88, 995)",17,17.01
"(88, 743)",17,17.01
"(390, 88)",17,17.01
"(7, 191)",17,17.01
"(89, 9)",17,17.01
"(93, 94)",17,17.01
"(937, 88)",17,17.01
"(831, 88)",17,17.01
"(658, 54)",17,17.01
"(438, 11)",17,17.01
"(11, 476)",17,17.01
"(85, 31)",17,17.01
"(442, 114)",17,17.01
"(88, 1730)",17,17.01
"(11, 2216)",17,17.01
"(184, 23)",17,17.01
"(142, 153)",17,17.01
"(102, 728)",17,17.01
"(640, 272)",17,17.01
"(11, 4)",17,17.01
"(85, 1417)",17,17.01
"(708, 254)",17,17.01
"(134, 252)",17,17.01
"(101, 519)",17,17.01
"(85, 27)",17,17.01
"(88, 2279)",17,17.01
"(98, 34)",17,17.01
"(96, 135)",17,17.01
"(293, 1134)",17,17.01
"(545, 11)",17,17.01
"(601, 101)",17,17.01
"(10, 896)",17,17.01
"(97, 497)",17,17.01
"(113, 9)",17,17.01
"(102, 1025)",17,17.01
"(11, 27)",17,17.01
"(191, 117)",17,17.01
"(103, 155)",17,17.01
"(88, 377)",17,17.01
"(24, 149)",17,17.01
"(85, 336)",17,17.01
"(11, 1312)",17,17.01
"(103, 135)",17,17.01
"(184, 917)",17,17.01
"(226, 1944)",17,17.01
"(88, 714)",17,17.01
"(495, 34)",17,17.01
"(114, 54)",17,17.01
"(1905, 101)",17,17.01
"(102, 998)",17,17.01
"(433, 34)",17,17.01
"(475, 9)",17,17.01
"(191, 97)",17,17.01
"(1203, 84)",17,17.01
"(85, 1203)",17,17.01
"(136, 128)",17,17.01
"(88, 1126)",17,17.01
"(96, 1014)",17,17.01
"(142, 135)",17,17.01
"(93, 292)",16,16.01
"(1683, 389)",16,16.01
"(93, 394)",16,16.01
"(34, 84)",16,16.01
"(97, 11)",16,16.01
"(88, 1996)",16,16.01
"(2538, 102)",16,16.01
"(533, 106)",16,16.01
"(1413, 102)",16,16.01
"(254, 11)",16,16.01
"(9, 353)",16,16.01
"(134, 136)",16,16.01
"(85, 476)",16,16.01
"(1776, 101)",16,16.01
"(236, 213)",16,16.01
"(317, 34)",16,16.01
"(82, 193)",16,16.01
"(153, 184)",16,16.01
"(984, 101)",16,16.01
"(135, 524)",16,16.01
"(181, 128)",16,16.01
"(11, 30)",16,16.01
"(132, 339)",16,16.01
"(128, 171)",16,16.01
"(93, 1935)",16,16.01
"(24, 88)",16,16.01
"(88, 2014)",16,16.01
"(860, 88)",16,16.01
"(88, 1383)",16,16.01
"(153, 528)",16,16.01
"(88, 1179)",16,16.01
"(99, 88)",16,16.01
"(101, 172)",16,16.01
"(73, 9)",16,16.01
"(502, 11)",16,16.01
"(357, 136)",16,16.01
"(136, 814)",16,16.01
"(93, 254)",16,16.01
"(471, 136)",16,16.01
"(197, 24)",16,16.01
"(327, 102)",16,16.01
"(132, 426)",16,16.01
"(93, 457)",16,16.01
"(103, 89)",16,16.01
"(227, 11)",16,16.01
"(153, 497)",16,16.01
"(163, 407)",16,16.01
"(109, 102)",16,16.01
"(297, 451)",16,16.01
"(3, 409)",16,16.01
"(136, 88)",16,16.01
"(93, 96)",16,16.01
"(191, 88)",16,16.01
"(88, 761)",16,16.01
"(11, 2365)",16,16.01
"(317, 153)",16,16.01
"(388, 9)",16,16.01
"(371, 101)",16,16.01
"(1036, 102)",16,16.01
"(917, 9)",16,16.01
"(104, 102)",16,16.01
"(113, 3)",16,16.01
"(254, 203)",16,16.01
"(237, 54)",16,16.01
"(93, 647)",16,16.01
"(2299, 10)",16,16.01
"(101, 1731)",16,16.01
"(96, 109)",16,16.01
"(101, 702)",16,16.01
"(135, 369)",16,16.01
