ngram_ids,count,smoothed_count
"(88, 1510)",16,16.01
"(166, 1257)",16,16.01
"(468, 268)",16,16.01
"(166, 225)",16,16.01
"(116, 497)",16,16.01
"(102, 91)",16,16.01
"(89, 127)",16,16.01
"(109, 89)",16,16.01
"(380, 88)",16,16.01
"(691, 9)",15,15.01
"(89, 302)",15,15.01
"(533, 6)",15,15.01
"(11, 27)",15,15.01
"(11, 960)",15,15.01
"(1641, 4)",15,15.01
"(88, 330)",15,15.01
"(304, 9)",15,15.01
"(9, 136)",15,15.01
"(54, 376)",15,15.01
"(201, 9)",15,15.01
"(163, 114)",15,15.01
"(58, 9)",15,15.01
"(346, 9)",15,15.01
"(10, 475)",15,15.01
"(4, 223)",15,15.01
"(421, 97)",15,15.01
"(129, 11)",15,15.01
"(58, 11)",15,15.01
"(310, 289)",15,15.01
"(369, 9)",15,15.01
"(88, 2358)",15,15.01
"(270, 34)",15,15.01
"(160, 102)",15,15.01
"(94, 9)",15,15.01
"(117, 127)",15,15.01
"(258, 241)",15,15.01
"(438, 101)",15,15.01
"(54, 280)",15,15.01
"(89, 226)",15,15.01
"(11, 37)",15,15.01
"(11, 2291)",15,15.01
"(106, 102)",15,15.01
"(88, 259)",15,15.01
"(89, 11)",15,15.01
"(99, 89)",15,15.01
"(218, 101)",15,15.01
"(11, 803)",15,15.01
"(416, 136)",15,15.01
"(127, 166)",15,15.01
"(73, 134)",15,15.01
"(263, 353)",15,15.01
"(109, 6)",15,15.01
"(297, 181)",15,15.01
"(743, 9)",15,15.01
"(554, 96)",15,15.01
"(88, 2465)",15,15.01
"(877, 54)",15,15.01
"(313, 34)",15,15.01
"(142, 188)",14,14.01
"(88, 714)",14,14.01
"(54, 69)",14,14.01
"(223, 117)",14,14.01
"(88, 577)",14,14.01
"(34, 446)",14,14.01
"(54, 722)",14,14.01
"(136, 128)",14,14.01
"(470, 9)",14,14.01
"(759, 11)",14,14.01
"(88, 60)",14,14.01
"(102, 191)",14,14.01
"(88, 671)",14,14.01
"(889, 101)",14,14.01
"(93, 153)",14,14.01
"(54, 11)",14,14.01
"(9, 203)",14,14.01
"(34, 554)",14,14.01
"(4, 1065)",14,14.01
"(203, 204)",14,14.01
"(96, 241)",14,14.01
"(4, 1767)",14,14.01
"(97, 184)",14,14.01
"(88, 72)",14,14.01
"(153, 252)",14,14.01
"(88, 131)",14,14.01
"(11, 1345)",14,14.01
"(101, 310)",14,14.01
"(88, 112)",14,14.01
"(290, 34)",14,14.01
"(54, 406)",14,14.01
"(598, 88)",14,14.01
"(95, 11)",14,14.01
"(160, 88)",14,14.01
"(937, 88)",14,14.01
"(163, 54)",14,14.01
"(784, 9)",14,14.01
"(88, 876)",14,14.01
"(495, 101)",14,14.01
"(24, 4)",14,14.01
"(96, 113)",14,14.01
"(88, 922)",14,14.01
"(101, 113)",14,14.01
"(351, 11)",14,14.01
"(573, 9)",14,14.01
"(203, 191)",14,14.01
"(134, 270)",14,14.01
"(34, 759)",14,14.01
"(398, 11)",14,14.01
"(581, 101)",14,14.01
"(58, 101)",14,14.01
"(376, 10)",14,14.01
"(214, 97)",14,14.01
"(90, 1131)",14,14.01
"(54, 59)",14,14.01
"(11, 2543)",14,14.01
"(9, 237)",14,14.01
"(9, 213)",14,14.01
"(237, 135)",14,14.01
"(97, 468)",14,14.01
"(410, 11)",14,14.01
"(72, 54)",14,14.01
"(270, 232)",14,14.01
"(147, 188)",14,14.01
"(101, 383)",14,14.01
"(10, 1989)",14,14.01
"(213, 353)",14,14.01
"(290, 288)",14,14.01
"(11, 1165)",14,14.01
"(73, 101)",14,14.01
"(288, 134)",14,14.01
"(492, 1184)",14,14.01
"(288, 34)",14,14.01
"(502, 11)",13,13.01
"(225, 155)",13,13.01
"(127, 6)",13,13.01
"(88, 2782)",13,13.01
"(389, 88)",13,13.01
"(134, 11)",13,13.01
"(88, 2289)",13,13.01
"(11, 1390)",13,13.01
"(460, 106)",13,13.01
"(4, 45)",13,13.01
"(181, 128)",13,13.01
"(2297, 9)",13,13.01
"(1806, 2478)",13,13.01
"(271, 88)",13,13.01
"(116, 296)",13,13.01
"(101, 784)",13,13.01
"(93, 147)",13,13.01
"(868, 101)",13,13.01
"(149, 397)",13,13.01
"(399, 11)",13,13.01
"(64, 9)",13,13.01
"(1020, 102)",13,13.01
"(101, 691)",13,13.01
"(98, 134)",13,13.01
"(994, 9)",13,13.01
"(96, 166)",13,13.01
"(290, 127)",13,13.01
"(88, 944)",13,13.01
"(88, 556)",13,13.01
"(667, 88)",13,13.01
"(1528, 88)",13,13.01
"(181, 136)",13,13.01
"(784, 11)",13,13.01
"(225, 11)",13,13.01
"(9, 160)",13,13.01
"(147, 166)",13,13.01
"(93, 171)",13,13.01
"(939, 11)",13,13.01
"(315, 102)",13,13.01
"(147, 218)",13,13.01
"(90, 1698)",13,13.01
"(88, 620)",13,13.01
"(88, 28)",13,13.01
"(103, 101)",13,13.01
"(495, 127)",13,13.01
"(1678, 4)",13,13.01
"(4, 433)",13,13.01
"(9, 72)",13,13.01
"(630, 116)",13,13.01
"(671, 10)",13,13.01
"(443, 10)",13,13.01
"(356, 160)",13,13.01
"(523, 117)",13,13.01
"(270, 7)",13,13.01
"(380, 116)",13,13.01
"(88, 665)",13,13.01
"(336, 160)",13,13.01
"(99, 147)",13,13.01
"(416, 117)",13,13.01
"(113, 127)",13,13.01
"(4, 533)",13,13.01
"(98, 171)",13,13.01
"(422, 54)",13,13.01
"(984, 101)",13,13.01
"(310, 89)",13,13.01
"(258, 191)",13,13.01
"(245, 88)",13,13.01
"(153, 181)",13,13.01
"(245, 127)",13,13.01
